DrugBank ID	HMDB ID	PTID_num	SMILES	T3DB ID
			CCCCCCC[CH](O)CC(=O)SCCNC(=O)CCNC(=O)[CH](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	
DB09030			[H]C(=C([H])[C]1([H])[C]2([H])[C]([H])(C)OC(=O)[C]2([H])C[C]2([H])C[C]([H])(CC[C]12[H])N=C(O)OCC)C1=NC=C(C=C1)C1=CC(F)=CC=C1	
			[H][C]12C[CH](O)[CH](O)C[C]1(C)C1CC[C]3(C)C(CCC3C1CC2=O)[CH](C)[CH](O)[CH](O[CH]1O[CH](CO)[CH](O)[CH](O)[CH]1O)C(=C)C(C)(C)C	
			CCC=CCC1C(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC2OC(C(O)C2OP([O-])([O-])=O)N2C=NC3=C2N=CN=C3N)CCC1=O	
			[H][C]12C[CH](O)[CH](O)C[C]1(C)C1CC[C]3(C)C(CCC3C1CC2=O)[CH](C)[CH](O)[CH](O[CH]1O[CH](CO)[CH](O)[CH](O)[CH]1O)C(=C)C(C)(C)C	
			CCCCCCCCCCCCCCCC(=O)OC[CH]1O[CH](O[CH]2CC[C]3(C)C4CC[C]5(C)[CH](CCC5[CH]4CC=C3C2)[CH](C)CC[CH](CC)C(C)C)[CH](O)[CH](O)[CH]1O	
			[Na+].[Fe+3].OCC(O)C(O)C(O)C(O)C([O-])=O.OCC(O)C(O)C(O)C(O)C([O-])=O.OCC(O)C(O)C(O)C(O)C([O-])=O.OCC(O)C(O)C(O)C(O)C([O-])=O	
			CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[CH](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	
			[H]C(=C([H])C([H])([H])[H])C(=O)O[C]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	
DB01583			[Na+].[Na+].N[CH](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O.N[CH](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C([O-])=O	
			[Ca++].CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=C(C=C1)C(C1=CC=C(O)C(=C1)S(O)(=O)=O)=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S(O)(=O)=O	
