PTID_num	PTID_name	Name_final	Class	Symbol	CAS	InChI	SMILES	MF	monoisotopic	Insect	Acaric	Herb	PlantGrowth	Bird	Mammal	Molluscidal					
392	valerate	C5H10O2_pyrethroid_ester_392_valerate	pyrethroid_ester	_	109-52-4	InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)	CCCCC(=O)O	C5H10O2	102.0680796	Insect											
670	metam	C2H5NS2_dithiocarbamate_670_metam	dithiocarbamate	_	144-54-7	InChI=1S/C2H5NS2/c1-3-2(4)5/h1H3,(H2,3,4,5)	CN=C(S)S	C2H5NS2	106.9863412	Insect	Acaric	Herb									
1043	metam	C2H5NS2_dithiocarbamate_1043_metam	dithiocarbamate	_	144-54-7	InChI=1S/C2H5NS2/c1-3-2(4)5/h1H3,(H2,3,4,5)	CN=C(S)S	C2H5NS2	106.9863412	Insect		Herb									
1452	metam	C2H5NS2_dithiocarbamate_1452_metam	dithiocarbamate	_	144-54-7	InChI=1S/C2H5NS2/c1-3-2(4)5/h1H3,(H2,3,4,5)	CN=C(S)S	C2H5NS2	106.9863412	Insect	Acaric										
509	cresol	C7H8O_nd_509_cresol	nd	_	106-44-5	InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3	CC1=CC=C(C=C1)O	C7H8O	108.0575149			Herb									
909	cresol	C7H8O_nd_909_cresol	nd	_	106-44-5	InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3	CC1=CC=C(C=C1)O	C7H8O	108.0575149			Herb							pyrethroid		
1523	cresol	C7H8O_nd_1523_cresol	nd	_	106-44-5	InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3	CC1=CC=C(C=C1)O	C7H8O	108.0575149			Herb									
1000	fosetyl	C2H6O3P_organophosphorus_1000_fosetyl	organophosphorus	_	Not Found	InChI=1S/C2H5O3P/c1-2-5-6(3)4/h2H2,1H3/p+1	CCOP(=[OH+])=O	C2H6O3P	109.0054557	Insect											
1422	1,3-dichloropropene	C3H4Cl2_nd_1422_1,3-dichloropropene	nd	_	###############################################################################################################################################################################################################################################################	InChI=1S/C3H4Cl2/c4-2-1-3-5/h1-2H,3H2/b2-1+	C(=C(Cl)[H])(CCl)[H]	C3H4Cl2	109.9690055												
1500	_-chlorohydrin	C3H7ClO2_nd_1500__-chlorohydrin	nd	_	312745-09-8	InChI=1S/C3H7ClO2/c4-1-3(6)2-5/h3,5-6H,1-2H2	C(C(CO)O)Cl	C3H7ClO2	110.0134571												
1	1,2-dichloropropane	C3H6Cl2_nd_1_1,2-dichloropropane	nd	_	78-87-5	InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3	CC(CCl)Cl	C3H6Cl2	111.9846556	Insect											
1421	1,2-dichloropropane	C3H6Cl2_nd_1421_1,2-dichloropropane	nd	_	78-87-5	InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3	CC(CCl)Cl	C3H6Cl2	111.9846556	Insect											
1399	maleic hydrazide	C4H4N2O2_gametocides_1399_maleic hydrazide	gametocides	_	116595-47-2	InChI=1S/C4H4N2O2/c7-3-1-2-4(8)6-5-3/h1-2H,(H,5,7)(H,6,8)	C1=CC(=NN=C1O)O	C4H4N2O2	112.0272774	Insect	Acaric										
1401	mepiquat	C7H16N_nd_1401_mepiquat	nd	_	15302-91-7	InChI=1S/C7H16N/c1-8(2)6-4-3-5-7-8/h3-7H2,1-2H3/q+1	C[N+]1(C)CCCCC1	C7H16N	114.1282745				PlantGrowth								
74	chloroform	CHCl3_fumigant_74_chloroform	fumigant	_	31717-44-9	InChI=1S/CHCl3/c2-1(3)4/h1H	C(Cl)(Cl)Cl	CHCl3	117.9143831												
1463	xylenols	C8H10O_nd_1463_xylenols	nd	_	Not Found	InChI=1S/C8H10O/c1-6-4-3-5-7(2)8(6)9/h3-5,9H,1-2H3	O([H])c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H]	C8H10O	122.0731												
1146	triazbutil	C6H11N3_triazole_1146_triazbutil	triazole	_	###############################################################################################################################################################################################################################################################	InChI=1S/C6H11N3/c1-2-3-4-9-5-7-8-6-9/h5-6H,2-4H2,1H3	CCCCN1C=NN=C1	C6H11N3	125.0952974			Herb									
270	naphthalene	C10H8_fumigant_270_naphthalene	fumigant	_	1146-65-2	InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H	C1=CC=C2C=CC=CC2=C1	C10H8	128.0626003					Bird	Mammal						
1515	moguchun	C8H16O_nd_1515_moguchun	nd	_	Not Found	InChI=1S/C8H16O/c1-3-5-6-7-8(9)4-2/h4,8-9H,2-3,5-7H2,1H3	O([H])[C@]([H])(C([H])=C([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	C8H16O	128.1201			Herb									
834	trihydroxytriazine	C3H3N3O3_triazine_834_trihydroxytriazine	triazine	_	108-80-5	InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)	C1(=NC(=NC(=N1)O)O)O	C3H3N3O3	129.017441		Acaric										
257	methylchloroform	C2H3Cl3_fumigant_257_methylchloroform	fumigant	_	###############################################################################################################################################################################################################################################################	InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3	CC(Cl)(Cl)Cl	C2H3Cl3	131.9300331					Bird	Mammal						
1082	phthalide	C8H6O2_nd_1082_phthalide	nd	_	100-68-5	InChI=1S/C8H6O2/c9-8-7-4-2-1-3-6(7)5-10-8/h1-4H,5H2	C1=CC=C2C(=C1)COC2=O	C8H6O2	134.0367794										pyrethroid		
851	ampropylfos	C3H10NO3P_organophosphorus_851_ampropylfos	organophosphorus	_	136840-56-7	InChI=1S/C3H10NO3P/c1-2-3(4)8(5,6)7/h3H,2,4H2,1H3,(H2,5,6,7)	CCC(N)P(O)(O)=O	C3H10NO3P	139.0398298	Insect											
1363	choline chloride	C5H14ClNO_nd_1363_choline chloride	nd	_	62-49-7	"InChI=1S/C5H14NO.ClH/c1-6(2,3)4-5-7;/h7H,4-5H2,1-3H3;1H/q+1;/p-1"	C[N+](C)(C)CCO.[Cl-]	C5H14ClNO	139.0763917				PlantGrowth								
248	methamidophos	C2H8NO2PS_phosphoramidothioate_248_methamidophos	phosphoramidothioate	_	10265-92-6	InChI=1S/C2H8NO2PS/c1-5-6(3,4)7-2/h1-2H3,(H2,3,4)	COP(N)(=O)SC	C2H8NO2PS	141.0013361			Herb									
1288	methamidophos	C2H8NO2PS_phosphoramidothioate_1288_methamidophos	phosphoramidothioate	_	10265-92-6	InChI=1S/C2H8NO2PS/c1-5-6(3,4)7-2/h1-2H3,(H2,3,4)	COP(N)(=O)SC	C2H8NO2PS	141.0013361			Herb									
522	dalapon	C3H4Cl2O2_halogenated_aliphatic_522_dalapon	halogenated_aliphatic	_	122-39-4	InChI=1S/C3H4Cl2O2/c1-3(4,5)2(6)7/h1H3,(H,6,7)	CC(C(=O)O)(Cl)Cl	C3H4Cl2O2	141.9588347	Insect	Acaric										
1506	frontalin	C8H14O2_nd_1506_frontalin	nd	_	28401-39-0	InChI=1S/C8H14O2/c1-7-4-3-5-8(2,10-7)9-6-7/h3-6H2,1-2H3	CC12CCCC(C)(OC1)O2	C8H14O2	142.0993797			Herb									
1376	ethephon	C2H6ClO3P_nd_1376_ethephon	nd	_	16672-87-0	InChI=1S/C2H6ClO3P/c3-1-2-7(4,5)6/h1-2H2,(H2,4,5,6)	C(CP(O)(O)=O)Cl	C2H6ClO3P	143.9743084				PlantGrowth								
1340	1-naphthol	C10H8O_nd_1340_1-naphthol	nd	_	1321-67-1	InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H	C1=CC=C2C(=C1)C=CC=C2O	C10H8O	144.0575149												
1602	nonanol	C9H20O_nd_1602_nonanol	nd	_	112-42-5	InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3	CCCCCCCCCO	C9H20O	144.1514153												
283	para-dichlorobenzene	C6H4Cl2_fumigant_283_para-dichlorobenzene	fumigant	_	106-46-7	InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H	C=1C=C(C=CC1Cl)Cl	C6H4Cl2	145.9690055			Herb									
711	ortho-dichlorobenzene	C6H4Cl2_nd_711_ortho-dichlorobenzene	nd	_	2199-69-1	InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H	C1=CC=C(C(=C1)Cl)Cl	C6H4Cl2	145.9690055			Herb									
1546	ethohexadiol	C8H18O2_nd_1546_ethohexadiol	nd	_	94-96-2	InChI=1S/C8H18O2/c1-3-5-8(10)7(4-2)6-9/h7-10H,3-6H2,1-2H3	CCCC(C(CC)CO)O	C8H18O2	146.1306798	Insect											
63	carvacrol	C10H14O_nd_63_carvacrol	nd	_	499-75-2	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3	CC(C)C=1C=CC(C)=C(C1)O	C10H14O	150.1044651	Insect	Acaric										
888	carvacrol	C10H14O_nd_888_carvacrol	nd	_	499-75-2	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3	CC(C)C=1C=CC(C)=C(C1)O	C10H14O	150.1044651	Insect	Acaric								pyrethroid		
889	carvone	C10H14O_nd_889_carvone	nd	_	2244-16-8	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3	C=C(C)C1CC=C(C)C(C1)=O	C10H14O	150.1044651				PlantGrowth								
1194	carvacrol	C10H14O_nd_1194_carvacrol	nd	_	499-75-2	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3	CC(C)C=1C=CC(C)=C(C1)O	C10H14O	150.1044651	Insect	Acaric										
1357	carvone	C10H14O_nd_1357_carvone	nd	_	2244-16-8	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3	C=C(C)C1CC=C(C)C(C1)=O	C10H14O	150.1044651				PlantGrowth								
1432	carvacrol	C10H14O_nd_1432_carvacrol	nd	_	499-75-2	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3	CC(C)C=1C=CC(C)=C(C1)O	C10H14O	150.1044651	Insect	Acaric										
1509	ipsdienol	C10H16O_nd_1509_ipsdienol	nd	_	14434-41-4	InChI=1S/C10H16O/c1-5-9(4)7-10(11)6-8(2)3/h5-6,10-11H,1,4,7H2,2-3H3	C=CC(=C)CC(C=C(C)C)O	C10H16O	152.1201151			Herb									
1540	camphor	C10H16O_nd_1540_camphor	nd	_	21368-68-3	InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3	CC1(C)C2CCC1(C)C(C2)=O	C10H16O	152.1201151												
619	fosamine	C3H8NO4P_organophosphorus__619_fosamine	organophosphorus_	_	59682-52-9	InChI=1S/C3H8NO4P/c1-2-8-9(6,7)3(4)5/h2H2,1H3,(H2,4,5)(H,6,7)	CCOP(C(=N)O)(O)=O	C3H8NO4P	153.0190944	Insect	Acaric										
1386	fosamine	C3H8NO4P_organophosphorus__1386_fosamine	organophosphorus_	_	59682-52-9	InChI=1S/C3H8NO4P/c1-2-8-9(6,7)3(4)5/h2H2,1H3,(H2,4,5)(H,6,7)	CCOP(C(=N)O)(O)=O	C3H8NO4P	153.0190944	Insect	Acaric										
130	dimefox	"C4H12FN2OP_phosphorodiamide_
 phosphorodiamide_130_dimefox"	"phosphorodiamide_
 phosphorodiamide"	_	115-26-4	InChI=1S/C4H12FN2OP/c1-6(2)9(5,8)7(3)4/h1-4H3	CN(C)P(F)(N(C)C)=O	C4H12FN2OP	154.0671279			Herb	PlantGrowth								
1237	dimefox	"C4H12FN2OP_phosphorodiamide_
 phosphorodiamide_1237_dimefox"	"phosphorodiamide_
 phosphorodiamide"	_	115-26-4	InChI=1S/C4H12FN2OP/c1-6(2)9(5,8)7(3)4/h1-4H3	CN(C)P(F)(N(C)C)=O	C4H12FN2OP	154.0671279	Insect	Acaric										
870	biphenyl	C12H10_aromatic_870_biphenyl	aromatic	_	1486-01-07	InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H	C1=CC=C(C=C1)C2=CC=CC=C2	C12H10	154.0782503												
1510	ipsenol	C10H18O_nd_1510_ipsenol	nd	_	14314-21-7	InChI=1S/C10H18O/c1-5-9(4)7-10(11)6-8(2)3/h5,8,10-11H,1,4,6-7H2,2-3H3	C=CC(=C)CC(CC(C)C)O	C10H18O	154.1357652			Herb									
1501	brevicomin	C9H16O2_nd_1501_brevicomin	nd	_	20290-99-7	InChI=1S/C9H16O2/c1-3-7-8-5-4-6-9(2,10-7)11-8/h7-8H,3-6H2,1-2H3	CCC1C2CCCC(C)(O1)O2	C9H16O2	156.1150298												
1360	chlormequat	C5H13Cl2N_nd_1360_chlormequat	nd	_	39394-21-3	"InChI=1S/C5H13ClN.ClH/c1-7(2,3)5-4-6;/h4-5H2,1-3H3;1H/q+1;/p-1"	C[N+](C)(C)CCCl.[Cl-]	C5H13Cl2N	157.0425048				PlantGrowth								
722	pelargonic acid	C9H18O2_nd_722_pelargonic acid	nd	_	112-05-0	InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)	CCCCCCCCC(=O)O	C9H18O2	158.1306798			Herb									
1605	potassium ethylxanthate	C3H5KOS2_nd_1605_potassium ethylxanthate	nd	_	108915-13-5	"InChI=1S/C3H6OS2.K/c1-2-4-3(5)6;/h2H2,1H3,(H,5,6);/q;+1/p-1"	CCOC(=S)[S-].[K+]	C3H5KOS2	159.9418885												
274	nithiazine	C5H8N2O2S_nitromethylene_nicotinoid_274_nithiazine	nitromethylene_nicotinoid	_	58842-20-9	InChI=1S/C5H8N2O2S/c8-7(9)4-5-6-2-1-3-10-5/h4,6H,1-3H2/b5-4-	C1CNC(=C(N(=O)=O)[H])SC1	C5H8N2O2S	160.0306485				PlantGrowth								
1350	aviglycine	C6H12N2O3__1350_aviglycine		_	###############################################################################################################################################################################################################################################################	InChI=1S/C6H12N2O3/c7-2-4-11-3-1-5(8)6(9)10/h1,3,5H,2,4,7-8H2,(H,9,10)/b3-1+/t5-/m0/s1	C(=C(OCCN)[H])(C(C(=O)O)(N)[H])[H]	C6H12N2O3	160.0847922			Herb									
1369	daminozide	C6H12N2O3_nd_1369_daminozide	nd	_	1596-84-5	InChI=1S/C6H12N2O3/c1-8(2)7-5(9)3-4-6(10)11/h3-4H2,1-2H3,(H,7,9)(H,10,11)	CN(C)N=C(CCC(=O)O)O	C6H12N2O3	160.0847922				PlantGrowth								
574	ethiolate	C7H15NOS_thiocarbamate_574_ethiolate	thiocarbamate	_	2941-55-1	InChI=1S/C7H15NOS/c1-4-8(5-2)7(9)10-6-3/h4-6H2,1-3H3	CCN(CC)C(=O)SCC	C7H15NOS	161.0874351												
802	TCA	C2HCl3O2_halogenated_aliphatic_802_TCA	halogenated_aliphatic	_	76-03-9	InChI=1S/C2HCl3O2/c3-2(4,5)1(6)7/h(H,6,7)	C(C(Cl)(Cl)Cl)(=O)O	C2HCl3O2	161.9042123	Insect	Acaric										
523	dazomet	C5H10N2S2_dithiocarbamate_523_dazomet	dithiocarbamate	_	533-74-4	InChI=1S/C5H10N2S2/c1-6-3-7(2)5(8)9-4-6/h3-4H2,1-2H3	CN1CN(C)C(=S)SC1	C5H10N2S2	162.0285403		Acaric										
921	dazomet	C5H10N2S2_dithiocarbamate_921_dazomet	dithiocarbamate	_	533-74-4	InChI=1S/C5H10N2S2/c1-6-3-7(2)5(8)9-4-6/h3-4H2,1-2H3	CN1CN(C)C(=S)SC1	C5H10N2S2	162.0285403		Acaric										
1436	dazomet	C5H10N2S2_dithiocarbamate_1436_dazomet	dithiocarbamate	_	533-74-4	InChI=1S/C5H10N2S2/c1-6-3-7(2)5(8)9-4-6/h3-4H2,1-2H3	CN1CN(C)C(=S)SC1	C5H10N2S2	162.0285403	Insect	Acaric	Herb									
